tk_category_dashname,tk_category_name,tk_category_rules
centauri-carbon-any,CentauriCarbonAny%,Complete the game as fast as possible on Centauri Carbon. No restrictions.
centauri-carbon-touch-any,CentauriCarbonTouchAny%,Complete the game as fast as possible on Centauri Carbon using touch controls only. No restrictions.
